Name,model
Abley CarbonWise,
ACERT v6.0,ACERT
ACERT v7.2338,ACERT
actuarial loss reserving,Actuarial loss reverving model
actuarial loss reserving models,Actuarial loss reverving model
Ag:LCA (AgResearch LCA tool),LCA model
ALOS elevation model,
Ambiental flood layers,Ambiental
Ambiental New Zealand FloodMap,Ambiental
Aon river and surface water flood model,Aon
Aotearoa Circle Energy Sector Scenarios,
AP-42 5th Edition Chapter 7,
API 2009 GHG Compendium,
Aqueduct (WRI),Aqueduct
ARIMAX regression model,ARIMAX regression model
ARIMAX regression model,ARIMAX regression model
AWI-CM1-1-MR (GCM ensemble),GCM ensemble
AWI-CM1-1-MR (GCM),GCM ensemble
bathtub model,
BCG,
Beca (flood and inundation modelling),Beca
Beca (physical risk modelling),Beca
Beca flood modelling (2023),Beca
BERL economic modelling,BERL economic modelling
BERL economic modelling,BERL economic modelling
Beta regression,Beta regression
Beta regression,Beta regression
Beta regression,Beta regression
Bowtie risk analysis,
BraveGen,BraveGen
BraveGen (inventory collation tool),BraveGen
BraveGen CSR,BraveGen
CanESM,
capital modelling,
capital modelling,
capital models,
CBAx tool (New Zealand Treasury),NZ Treasury's CBAx 
CBAx tool (NZ Treasury),NZ Treasury's CBAx 
CBAx Tool (Treasury New Zealand),NZ Treasury's CBAx 
CBAx Tool (Treasury NZ),NZ Treasury's CBAx 
CLIMADA,CLIMADA
Climanomics,
Climate Change Commission,Climate Change Commission
ClimSystems Climate Insights Database,ClimSystems
ClimSystems Climate Insights platform,ClimSystems
ClimSystems climate risk reports,ClimSystems
CMIP,CMIP5/6 models
CMIP5,CMIP5/6 models
CMIP6,CMIP5/6 models
CNRM-CM6-1 (GCM),GCM ensemble
Cogo Business Carbon Manager tool,
CORDEX,
council flood studies,
Deloitte quant model,
Diligent ESG,
discounted cash flow model,
DKMA passenger number forecast model,
EC-Earth,
Ecoinvent,LCA model
Ecoinvent Global LCA Database,LCA model
Economic Scenario Generator,
EECA projections,
emanage,
enterprise risk matrix,
Envisory fuel demand model,
Envizi,
Eora (Worldmrio),Eora
Eora database,Eora
ERA (storm),ERA5�
ERA5,ERA5�
eRoad (fleet management platform),
ESGIS geospatial platform,
ESP CSR (carbon reporting software),
Finity Finperils modelling suite,
"Flood modelling (Beca, 2023)",Beca
FloodScore (Corelogic/Ambiental),Ambiental
GaBi (Sphera) LCA Database,LCA model
GCAM,GCAM
Generate Zero,Generate Zero Footprint Tool
Generate Zero (Footprint software),Generate Zero Footprint Tool
Generate Zero Footprint Tool,Generate Zero Footprint Tool
