,filename,answer,question
0,ANZ_climate-report-2023.pdf,[Orderly 1.50C; Shared Socioeconomic Pathway 1-1.9; Network for Greening the Financial System (NGFS) Net Zero 2050],q4
1,Sustainability Review & Climate Related Disclosures - FY23.pdf,[orderly 1.5C scenario;  hot house world > 3°C scenario;  disorderly scenario less than 2C],q4
2,RLAL-NZ Climate-Related Disclosures 2023.pdf,[Orderly; Too Little Too Late; Hothouse],q4
3,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,[IPCC Shared Socioeconomic Pathways (SSPs); Downscaled NZ climate change projections; Network for Greening the Financial System (NGFS) Climate Scenarios],q4
4,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,[],q4
5,RBD 2023 CRD.pdf,[SSP1-1.9; SSP2-4.5; SSP1-2.6],q4
6,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,[orderly scenario; too little too late scenario; hot house world scenario],q4
7,Z Climate Statements 2023 - FINAL.pdf,[Net Zero 2050; Delayed Transition; Current Policies],q4
8,Ventia - 2023 Sustainability Report.pdf,[Fast action (1.5°C future); Delayed rapid action; Required action (2.0°C future); Current trajectory (>3.0°C future); Best case scenario; Worst case scenario],q4
9,SC9600 Climate Related Disclosure Final Copy.pdf,[Orderly; Disorderly; Hothouse],q4
10,QBE_NZ Climate Statement.pdf,[1.5C; 1.7C; 1.8C; 2.4C; 3.90C+; 11C],q4
11,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,[IPCC Shared Socioeconomic Pathway (SSP) scenarios; Network for Greening the Financial System (NGFS) scenarios],q4
12,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,[immediate stringent policy action and innovation;limit global warming;CO2 removal;sustainable levels of bioenergy production],q4
13,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,[Shared Socio-economic Pathways (SSP); Global references; Temperature pathways],q4
14,NZL Climate Related Disclosure.pdf,[Orderly/Tū-ā-pae a 1.5 degrees Celsius climate-related scenario; Disorderly/Tū-ā-hopo a 2 degrees Celsius climate related scenario; Hothouse World/Tū-ā-tapape a 3 degrees Celsius or greater climate related scenario],q4
15,MIL0019_Climate_Related_Disclosures_2023.pdf,[IPCC 5th and 6th Assessment Reports; AR6 Synthesis Report: Climate Change 2023; Scenario modelling data from The Aotearoa Circle; Climate Change scenarios for New Zealand published by NIWA; New Zealand findings from the IPCC 5th Assessment Report; Ministry for the Environment's Aotearoa New Zealand climate change projections guidance],q4
16,CDL0017_Climate_Related_Disclosures_2023.pdf,"[1.5 degree scenario; IPCC 5th and 6th Assessment Reports; AR6 Synthesis Report: Climate Change 2023; Climate Change scenarios for New Zealand published by the National Institute of Water and Atmospheric Research (NIWA); New Zealand findings from the IPCC 5th Assessment Report; Ministry for the Environment's ""Aotearoa New Zealand climate change projections guidance""]",q4
17,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,[],q4
18,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,[1.5C orderly scenario; disorderly scenario less than 2C; hot house world greater than 3C],q4
19,Vista Group 2023 Group Climate Statement.pdf,[SSP1 Net Zero 2050; SSP2 Delayed Transition; SSP3 Current Policies],q4
20,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,[IPCC SSP1-1.9; IPCC SSP2-4.5; IPCC SSP5-8.5; NGFS Net Zero 2050; IEA Net Zero Emissions by 2050; NGFS Nationally Determined Contributions; IEA Announced Pledges; NGFS Current Policies; IEA Stated Policies; NIWA RCP2.6; NIWA RCP4.5; NIWA RCP8.5; CCC 'Tailwinds'; CCC 'Headwinds'; CCC 'Current Policy Reference'; BOCNZ specific scenarios],q4
21,Rabobank New Zealand Limited 2023 Climate Statements.pdf,[IPCC Shared Socioeconomic Pathway (SSP) scenarios for physical data; Network for Greening the Financial System (NGFS) scenarios for transition data],q4
22,Briscoe Group 2024 Annual Report.pdf,[Net Zero 2050 (Orderly Category); Delayed Transition (Disorderly Category); Current Policies (Hot House World Category)],q4
23,CCBNZL Climate Report for the year ended 31 December 2023.pdf,[Orderly 1.5C scenario; Too Little Too Late >2C scenario; Hothouse >3C scenario],q4
24,NZX Annual Report 2023 (including climate statement).pdf,[Orderly 1.50°C scenario; Net Zero by 2050 scenario; Global Energy and Climate Model scenario; Climate Change 2021 The physical science basis summary for policy makers scenario; Intergovernmental Panel on Climate Change: Sixth Assessment Report scenario; Summary for Policymakers scenario; Coastal Hazards and Climate Change scenario],q4
25,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,[Orderly; Too Little Too Late; Hothouse; 1.5C pathway; >2C pathway],q4
26,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,[ipcc ssp1-1.9; ipcc ssp2-4.5; ipcc ssp5-8.5; ngfs net zero 2050; iea net zero emissions by 2050 (nze); ngfs nationally determined contributions (ndc's); iea announced pledges (aps); ngfs current policies; iea stated policies (steps)],q4
27,nzm-cs-dec-2023.pdf,[Net Zero scenario; Paris Agreement scenario],q4
28,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,[Orderly 1.5°C; Too Little Too Late >2°C; Hothouse >3°C],q4
29,BNZ_2023-Climate-Report.pdf,[SSP1-1.9; SSP2-4.5; SSP5-8.5],q4
30,Seeka Limited Climate Disclosure 2023.pdf,[1.5 degrees Celsius scenario; 3 degrees Celsius or greater scenario; third scenario],q4
31,kiwibank_sustainability_report2023.pdf,[Representative Concentration Pathway 8.5H+; 3 degree Celsius global warming assumption by 2100; National Institute of Water and Atmospheric Research (NIWA)],q4
32,Climate-Report-2023-Westpac-NZ.pdf,"[orderly transition; hot house world; too little, too late]",q4
33,NZME Annual Report 2023 (including climate statement).pdf,[SSP1-1.9 and RCP 2.6; SSP2-4.5 and RCP 4.5; SSP5-8.5 and RCP 8.5],q4
34,ICBC NZ Ltd CRD 31 Dec 2023.pdf,[Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathways (SSPs); Downscaled NZ climate change projections prepared by NIWA for Minister for the Environment (MfE); Network for Greening the Financial System (NGFS) Climate Scenarios],q4
35,ANZ_climate-report-2023.pdf,[1.5oC; >2oC; >3oC],q5
36,Sustainability Review & Climate Related Disclosures - FY23.pdf,[1.5oC; 2oC; >3oC],q5
37,RLAL-NZ Climate-Related Disclosures 2023.pdf,[1.5oC; >2oC;  >3oC],q5
38,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,[+2.5oC; +1.7oC],q5
39,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,[],q5
40,RBD 2023 CRD.pdf,[1.5oC; <3oC; <4oC],q5
41,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,[1.5oC; 2-3oC; >3oC],q5
42,Z Climate Statements 2023 - FINAL.pdf,[1.5oC; <2oC; >3oC; >3oC],q5
43,Ventia - 2023 Sustainability Report.pdf,[1.5oC; 2.0oC; 2.0oC; >3.0oC],q5
44,SC9600 Climate Related Disclosure Final Copy.pdf,[1.5oC; >3oC; >3oC],q5
45,QBE_NZ Climate Statement.pdf,[1.5oC; 1.7oC; 1.8oC; 2.4oC; 3.90oC+],q5
46,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,[1.4oC; 1.8oC; >3oC],q5
47,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,[2°C; >2°C; >2°C],q5
48,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,[2.0oC; 2.6oC],q5
49,NZL Climate Related Disclosure.pdf,[1.5oC; 2oC; 3oC or greater],q5
50,MIL0019_Climate_Related_Disclosures_2023.pdf,[2.0oC; 1.5oC; 3.0oC],q5
51,CDL0017_Climate_Related_Disclosures_2023.pdf,[1.5oC; >2oC; >3oC],q5
52,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,[],q5
53,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,[1.5oC; <2oC; >3oC],q5
54,Vista Group 2023 Group Climate Statement.pdf,[<1.5oC; >3oC; unspecified],q5
55,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,[1.5oC; >2oC; >3oC],q5
56,Rabobank New Zealand Limited 2023 Climate Statements.pdf,[1.4oC; higher; expected to be significantly higher],q5
57,Briscoe Group 2024 Annual Report.pdf,[1.4oC; 1.6oC; >3oC],q5
58,CCBNZL Climate Report for the year ended 31 December 2023.pdf,[1.5oC; >3oC],q5
59,NZX Annual Report 2023 (including climate statement).pdf,[1.50oC; >2oC; >3oC],q5
60,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,[+1.5oC; >2oC; >3oC],q5
