,index,Question,Topic
0,q1,What is the Word counts/ Page counts/ Length of document?,Word/Page counts
1,q2,"Is the climate risk disclosure issued as a separate climate statement, sustainablity report, or annual report?",Disclosure type
2,q3,"List the adoption provisions that this statement applies. If no, plaese answer NA",Adoption provisions
3,q4,Provide the list of all climate scenarios or pathways that have been used in this statement,Climate scenarios
4,q5,Provide the global temperature outcomes associated with the climate scenarios by 2100,Temperature outcomes
5,q6,Provide the list of scenario providers used in this statement,Scenario providers
6,q7,"Are the scenarios included a pick and mix of different scenario providers, such as SSPs or RCPs?",Mix of scenarios
7,q8,Are the scenarios off-the-shelf or are they further customized to meet with company business models?,Custom scenarios
8,q9,What are the main variables that are covered and drive the scenarios? (apart from global temperature outcomes)?,Main variables
9,q10,"Are the scenarios/assessments being co-produced ?  For instance, are there keywords like ‘participatory’, ‘co-creat$’, ‘deliber$’, ‘co-design$’ which might be indicative of the legitimacy of the scenarios?",Co-produced scenarios
10,q11,Is there disclosure of the  baseline or reference scenarios or assumptions that is used to measure the impact of climate change scenarios against?,Baseline scenarios
11,q12,What climate models/ integrated assessment models / macro-economic models used in the creation of scenarios?,Models used
12,q13,Is damage from extreme or acute climate events considered in the set of climate scenarios/ pathways?,Extreme events
13,q14,"Are the scenarios based on global climate models or local, New Zealand based models or regional models?",Model type
14,q15,"What are the short, medium and long term timeframes and their associated rationale?",Timeframes
15,q16,Does the statement provide justification for their choice of climate scenarios/ models?,Scenario justification
16,q17,What are the physical hazards listed in the climate statement that have an impact on firms?,Physical hazards
17,q18,Is the discussion of physical risk generic or based on the geo-locations of its assets?,Physical risk detail
18,q19,What are the business risks specific to the firm due to physical hazards?,Business risks
19,q20,What are the opportunities specific to the business due to physical hazards?,Business opportunities
20,q21,Is there any quantification of the business exposure to physical hazards across climate scenarios ? What are they?,Exposure quantification
21,q22,Are the current financial impacts of climate change discussed in the disclosure? What are they?,Current impacts
22,q23,Are the future financial impacts of climate change discussed in the disclosure? What are they?,Future impacts
23,q24,Is there disclosure of the range of uncertainty surrounding the expected (average - mean) exposure and financial impacts due to climate physical hazards?,Uncertainty range
24,q25,Are the financial impacts detailed  quantatively or qualitatively?,Impact detail
25,q26,Are the disclosure of financial impact focus on direct or indirect loss?,Impact focus
26,q27,"Did science agencies  involve in the creation of this disclosure? What are they? (for instance, NIWA)?",Science agencies
27,q28,"Did science agencies involve in terms of providing the climate scenarios/consulting on the identification of climate risk and opportunities/ analysis of climate physical risk, hazard, exposure/ providing datasets or analysis of current/ anticipated impacts?",Agency involvement
28,q29,"Was a consultancy employed to conduct part, or all, of the disclosure?",Consultancy
29,q30,What parts of the disclosures (climate risk/ scenario creation/ data provision / transition risk) are consultants commonly contracted,Consulted parts
30,q31,Is the overall discussion about climate risk neutral/ negative / positve ?,Risk discussion
31,q32,Is climate risk expected to have a significant impact on the company's financial performance?,Risk impact
32,q33,Is the overall discussion in the document qualitative / quantitative (%) / financially quantitative ($)?,Discussion type
