,filename,answer,question
0,ANZ_climate-report-2023.pdf,[global climate and socio-economic parameters;global energy and emissions pathway and parameters;banking sector scenarios;],q9
1,Sustainability Review & Climate Related Disclosures - FY23.pdf,[global temperature outcomes;shifting focus towards nationalism and security;failures to implement decarbonisation policies;consumer and market behavior;emissions growth;changes in climate patterns and extreme weather events;sea level rise;rainfall intensity;number of hot days;],q9
2,RLAL-NZ Climate-Related Disclosures 2023.pdf,[social and political traction towards a low emissions future;behavioural change;uptake and development of low-emissions technologies;carbon price;reliance on fossil fuels;globalisation;consumption and materialism;economic inequality;political instability;geopolitical tensions;extreme weather events;sea level rise;internal and global migration;physical risk exposure to hazards such as wildfire;extreme cold;extreme heat;water stress;coastal flood;riverine flood;tropical cyclone;drought;],q9
3,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,[GDP; demographics; energy sources; trade policies; physical climate data; land use change; global population; global carbon price; domestic GDP; likelihood of extreme temperature events;],q9
4,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,[I don't know;],q9
5,RBD 2023 CRD.pdf,[policies; consumer sentiment; emissions levels;],q9
6,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,[policy and socioeconomic assumptions; negative emissions technology; carbon sequestration from afforestation; energy pathways; macroeconomic trends;],q9
7,Z Climate Statements 2023 - FINAL.pdf,"[capital allocation; policy, legal and regulatory instruments; fuel demand; population estimates and projections; the scope of the scenario analysis;]",q9
8,Ventia - 2023 Sustainability Report.pdf,"[level of global temperature outcomes;actions taken by governments, businesses, and individuals to mitigate or adapt to climate change;changes in technology; energy sources;consumer behavior;]",q9
9,SC9600 Climate Related Disclosure Final Copy.pdf,[level of challenges to mitigation and adaptation; level of climate policies implemented;physical impacts of climate change;],q9
10,QBE_NZ Climate Statement.pdf,[changes in projected rainfall and rainfall intensity; projected relative sea level rise; temperature; humidity; surface radiation;],q9
11,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,[access to water; changes in biodiversity and ecosystems; technology advances and sustainable farming practices; global demand and consumer behavior; emissions pricing; trade barriers; financial incentives;],q9
12,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,[policy action; innovation; CO2 removal; sustainable levels of bioenergy production; physical impacts; socioeconomic impacts; temperature; extreme events; climate change; climate-related risks; time horizons; ESG-related risks; ownership; ESG issues; risk management; metrics; targets; workshops; subject matter experts; value chain; operations; distribution; suppliers; CRD working group; CRD Steering Committee; electrification; transport; light vehicles; buses; trucks; domestic aviation; light passenger vehicles; transport emissions; cycling; walking; public transport; working from home; technological advancement; steel production; carbon intensity; agricultural gains; exotic forestry; native forestry; physical climate change; global health impacts; zoonotic disease; vector borne disease; pandemic risk; socioeconomic effects; New Zealand population; New Zealand economy;],q9
13,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,[population change; development/adoption of new transport fuels technology; global temperature increase by 2100; economic changes; environmental changes; social changes;],q9
14,NZL Climate Related Disclosure.pdf,[socio-economic;technological;environmental;political factors;],q9
15,MIL0019_Climate_Related_Disclosures_2023.pdf,[global water cycle;climate events;carbon sinks;sea level rise;extreme heat days;agriculture and horticulture impacts;social and response services;critical infrastructure;climate refugees;transition risks;],q9
16,CDL0017_Climate_Related_Disclosures_2023.pdf,[effects of climate change; extreme weather events; sea level rise; changes in the atmosphere; ocean; biosphere; potential for damage to land and property; delays and disruptions to development projects; potential impacts on sales contracts and revenue; social and infrastructure pressures; potential for climate refugees;],q9
17,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,[],q9
18,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,[climate-related risks and opportunities; targets; current and anticipated impacts; regulatory changes;],q9
19,Vista Group 2023 Group Climate Statement.pdf,[climate-related risks and opportunities;physical and transition risks;extreme weather events;pandemics;regulatory changes;changes in consumer behavior and preferences;technological advancements;economic volatility;trade wars;],q9
20,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,[global climate and socio-economic parameters; global energy and emission pathway parameters; scenario risk assumptions; government spending and policy on infrastructure and energy; regulation and actions of the RBNZ and FMA; global energy and emission pathways; impacts of climate change on the economy and society;],q9
21,Rabobank New Zealand Limited 2023 Climate Statements.pdf,[access to water; changes in biodiversity and ecosystems;  new technology advances and sustainable farming practices;changing global demand and consumer behavior;severe acute and chronic weather events;],q9
22,Briscoe Group 2024 Annual Report.pdf,[physical impacts; transitional impacts; financial impacts; policy reaction to climate change; timing of regulatory and legal interventions; consumer sentiment; macro-economic conditions; severity of weather events;],q9
23,CCBNZL Climate Report for the year ended 31 December 2023.pdf,[global climate; socio-economic parameters; IPCC SSP1-1.9 scenario; acute climate risk factors; extreme weather events;],q9
24,NZX Annual Report 2023 (including climate statement).pdf,[emission pathways;social factors;technological factors;climate-related key performance indicators;],q9
25,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,"[societal changes related to technology,policy,behavior to support the transition to a lower emissions economy;coordinated and timely action around the world to curb greenhouse gases;level of transition risk;physical risk]",q9
26,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,[global climate and socio-economic parameters; global energy and emission pathway parameters; New Zealand-specific climate parameters; IPCC SSPs; NGFS Net Zero 2050; IEA Net Zero Emissions by 2050; NZE;],q9
27,nzm-cs-dec-2023.pdf,[governmental climate policy changes; macroeconomic factors; technological developments; carbon prices;],q9
28,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,"[collective action towards a low-carbon global economy; societal changes related to technology, policy and behaviour; carbon pricing; emissions trajectories;]",q9
29,BNZ_2023-Climate-Report.pdf,[socio-economic factors; population growth; economic development; energy use; Shared Socioeconomic Pathways (SSPs); potential global warming impacts; coming century; ],q9
30,Seeka Limited Climate Disclosure 2023.pdf,[interest costs; net profit after tax; revenue; current financial impact; socioeconomic assumptions; macroeconomic trends; energy pathways; changes in consumer behavior; technological advancements; government policies;],q9
31,kiwibank_sustainability_report2023.pdf,[weather events becoming more severe;global warming reaching at least 3 degrees Celsius by 2100;potential exposure of the mortgage portfolio to coastal flooding;],q9
32,Climate-Report-2023-Westpac-NZ.pdf,[physical risks; transition risks; socioeconomic outcomes;],q9
33,NZME Annual Report 2023 (including climate statement).pdf,[sea level rise; flooding; population growth; regulatory/policy changes; technology advancements; transportation; mitigation vs adaptation efforts;],q9
34,ICBC NZ Ltd CRD 31 Dec 2023.pdf,[GDP; demographics; energy sources; trade policies; physical climate data; land use change; global population; global carbon price; domestic GDP; the likely occurrence of a 50-year extreme temperature event;],q9
35,ANZ_climate-report-2023.pdf,Not sure,q10
36,Sustainability Review & Climate Related Disclosures - FY23.pdf,Yes-co-produced,q10
37,RLAL-NZ Climate-Related Disclosures 2023.pdf,No,q10
38,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,No,q10
39,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,No,q10
40,RBD 2023 CRD.pdf,No,q10
41,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,No,q10
42,Z Climate Statements 2023 - FINAL.pdf,Yes-co-produced,q10
43,Ventia - 2023 Sustainability Report.pdf,Not sure,q10
44,SC9600 Climate Related Disclosure Final Copy.pdf,No;no,q10
45,QBE_NZ Climate Statement.pdf,Not sure,q10
46,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,Maybe,q10
47,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,Not sure,q10
48,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,No,q10
49,NZL Climate Related Disclosure.pdf,Maybe,q10
50,MIL0019_Climate_Related_Disclosures_2023.pdf,Maybe,q10
51,CDL0017_Climate_Related_Disclosures_2023.pdf,Maybe,q10
52,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,Not sure,q10
53,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,Yes-co-produced,q10
54,Vista Group 2023 Group Climate Statement.pdf,Yes-co-produced,q10
55,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,Maybe,q10
56,Rabobank New Zealand Limited 2023 Climate Statements.pdf,No,q10
57,Briscoe Group 2024 Annual Report.pdf,Maybe,q10
58,CCBNZL Climate Report for the year ended 31 December 2023.pdf,Maybe,q10
59,NZX Annual Report 2023 (including climate statement).pdf,No,q10
60,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,No,q10
61,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,Not sure,q10
62,nzm-cs-dec-2023.pdf,No,q10
63,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,Yes-co-produced,q10
64,BNZ_2023-Climate-Report.pdf,No,q10
65,Seeka Limited Climate Disclosure 2023.pdf,Maybe,q10
66,kiwibank_sustainability_report2023.pdf,Maybe,q10
67,Climate-Report-2023-Westpac-NZ.pdf,Yes-co-produced,q10
68,NZME Annual Report 2023 (including climate statement).pdf,No,q10
69,ICBC NZ Ltd CRD 31 Dec 2023.pdf,No,q10
70,ANZ_climate-report-2023.pdf,No-no baseline metioned,q11
71,Sustainability Review & Climate Related Disclosures - FY23.pdf,Yes -baseline scenarios mentioned,q11
72,RLAL-NZ Climate-Related Disclosures 2023.pdf,Yes -baseline scenarios mentioned,q11
73,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,Yes -baseline scenarios mentioned,q11
74,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,Yes -baseline scenarios mentioned,q11
75,RBD 2023 CRD.pdf,Yes -baseline scenarios mentioned,q11
76,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,Yes -baseline scenarios mentioned,q11
77,Z Climate Statements 2023 - FINAL.pdf,Yes -baseline scenarios mentioned,q11
78,Ventia - 2023 Sustainability Report.pdf,"Yes -baseline scenarios mentioned/No-no baseline metioned;Yes -baseline variables mentioned/Maybe/No-no baseline metioned/Not sure quote, no special characters, no 
. with "";"" as delimiter.
Yes -baseline scenarios mentioned/Yes -baseline variables mentioned;Yes -baseline scenarios mentioned/Yes -baseline variables mentioned;Yes -baseline scenarios mentioned/Yes -baseline variables mentioned",q11
79,SC9600 Climate Related Disclosure Final Copy.pdf,Yes -baseline scenarios mentioned,q11
80,QBE_NZ Climate Statement.pdf,Maybe,q11
81,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,Yes -baseline scenarios mentioned,q11
82,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,Yes -baseline scenarios mentioned,q11
83,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,Yes -baseline scenarios mentioned,q11
84,NZL Climate Related Disclosure.pdf,Yes -baseline scenarios mentioned,q11
85,MIL0019_Climate_Related_Disclosures_2023.pdf,Yes -baseline scenarios mentioned,q11
86,CDL0017_Climate_Related_Disclosures_2023.pdf,Yes -baseline variables mentioned,q11
87,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,"Not sure quote, no special characters, no ",q11
88,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,Yes-baseline scenarios mentioned,q11
89,Vista Group 2023 Group Climate Statement.pdf,Yes -baseline variables mentioned,q11
90,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,Yes -baseline scenarios mentioned,q11
91,Rabobank New Zealand Limited 2023 Climate Statements.pdf,Yes -baseline scenarios mentioned,q11
92,Briscoe Group 2024 Annual Report.pdf,Maybe,q11
93,CCBNZL Climate Report for the year ended 31 December 2023.pdf,Yes -baseline variables mentioned,q11
94,NZX Annual Report 2023 (including climate statement).pdf,Yes -baseline scenarios mentioned,q11
95,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,Yes -baseline scenarios mentioned,q11
96,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,Yes -baseline scenarios mentioned,q11
97,nzm-cs-dec-2023.pdf,No-no baseline metioned,q11
98,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,Yes -baseline scenarios mentioned,q11
99,BNZ_2023-Climate-Report.pdf,Yes -baseline scenarios mentioned,q11
100,Seeka Limited Climate Disclosure 2023.pdf,Yes -baseline variables mentioned,q11
101,kiwibank_sustainability_report2023.pdf,Yes -baseline scenarios mentioned,q11
